INFO       2017-11-23 20:46:16,652 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:16,852 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:17,052 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:17,252 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:17,453 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:17,655 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:17,855 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:18,056 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:18,258 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:18,458 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:18,659 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:18,859 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:19,060 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:19,261 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:19,462 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:19,663 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:19,864 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:20,064 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
